delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,polygon.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,beeeep.started,beeeep.stopped,beep.stopped,response.started,text.started,textbox.started,mouse.started,button.started,response.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart
0.1,1000,exp,0,0,0,9,0.0581937,,0.0490742,0.0581937,0.1092735,1.0089694,1.0586874,3.7792976,space,2.6194816,None,3.7839071,3.891679967,4.2408792,4.2208469,4.2208691,4.2408792,4.2408792,0.0007798,4.2408792,9.1945793,100,[0.06666666666666667],[-0.27666666666666667],[1],[0],[0],[4.9721896000000925],1,[4.972321400000055],[4.972327599999971],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.7,400,unexp,0,1,1,2,9.2238694,,9.2136071,9.2238694,9.3247157,10.2245288,10.2245288,11.560154,space,1.3277825,None,11.5617297,12.27386657,12.6233037,12.6007811,12.6008025,12.6233037,12.6233037,0.0006572,12.6233037,18.2599059,200,[0.06666666666666667],[-0.27666666666666667],[1],[0],[0],[5.657726599999933],1,[5.657837100000052],[5.6578426000000945],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.4,1000,exp,0,2,2,7,18.2732181,,18.266382,18.2732181,18.3731621,19.2730256,19.2730256,19.39239,space,0.1044997,None,19.3939667,19.80625577,,20.0364531,20.0364719,20.0555826,20.0555826,0.0004665,20.0555826,23.9596948,100,[-0.05],[-0.2733333333333333],[1],[0],[0],[3.922011399999974],1,[3.922125199999982],[3.9221308000001045],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.4,1000,exp,0,3,3,4,23.9724719,,23.9660209,23.9724719,24.0722924,24.9722396,24.9722396,25.5749536,space,0.5860458,None,25.576559,25.98870687,,26.2468915,26.2469095,26.2557255,26.2557255,0.0004601,26.2557255,33.0755694,250,[-0.05],[-0.2733333333333333],[1],[0],[0],[6.827273500000047],1,[6.827445000000125],[6.827452900000026],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.7,1000,exp,0,4,4,5,33.0882583,,33.0820919,33.0882583,33.1883114,34.0876819,34.0876819,34.1751102,space,0.0727222,None,34.1767261,34.88765067,,35.1607897,35.1608081,35.1708097,35.1708097,0.0004758,35.1708097,38.3580634,600,[-0.05],[-0.2733333333333333],[1],[0],[0],[3.1958992999998372],1,[3.196051699999998],[3.196058600000015],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.7,1000,exp,0,5,5,8,38.3707431,,38.3643969,38.3707431,38.4708001,39.3704619,39.3704619,40.206324,space,0.8199812,None,40.2079148,40.92010377,41.2696864,41.2565003,41.2565191,41.2696864,41.2696864,0.0005521,41.2696864,44.7235678,500,[-0.05],[-0.2733333333333333],[1],[0],[0],[3.465765799999872],1,[3.465872499999932],[3.465877899999896],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.7,1000,exp,0,6,6,11,44.7364693,,44.7297859,44.7364693,44.8364946,45.7363186,45.7363186,46.2567971,space,0.5120444,None,46.258434,46.96929777,,47.2587138,47.25873,47.2685995,47.2685995,0.0004886,47.2685995,49.3557349,800,[-0.05],[-0.2733333333333333],[1],[0],[0],[2.0957691999999497],1,[2.0958700999999564],[2.0958753999998407],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.1,400,unexp,0,7,7,0,49.3693915,,49.362075,49.3693915,49.4691678,50.3689291,50.3689291,50.5217429,space,0.1416783,None,50.5233545,50.63562627,50.9680948,50.9456407,50.9456618,50.9680948,50.9680948,0.0006538,50.9680948,54.4382986,100,[-0.05],[-0.2733333333333333],[1],[0],[0],[3.491287199999988],1,[3.4913880000001427],[3.4913931999999477],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.4,1000,exp,0,8,8,10,54.4519326,,54.4445524,54.4519326,54.5518779,55.4517102,55.4517102,55.5547348,space,0.0927486,None,55.5563439,55.96825847,56.2681833,56.2555713,56.2556376,56.2681833,56.2681833,0.0005675,56.2681833,58.8875117,200,[-0.05],[-0.2733333333333333],[1],[0],[0],[2.6305457000000843],1,[2.6306480999999167],[2.6306538999999702],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
0.1,1000,exp,0,9,9,3,58.9012383,,58.8939658,58.9012383,59.0012079,59.9010285,59.9010285,59.9709221,space,0.0664806,None,59.9725738,60.08438487,60.4336092,60.4247933,60.4248158,60.4336092,60.4336092,0.0005468,60.4336092,69.0045692,50,[0.02],[-0.32666666666666666],[1],[0],[0],[8.578413700000056],1,[8.578526900000043],[8.578532400000086],Final,1,2024-11-13_22h22.56.541,binding,2024.1.5,None,2024-11-13 22h25.19.013376 +0530
